Edge of Tomorrow,Tom Cruise- Emily Blunt- Bill Paxton- Brendan Gleeson
A Cure for Wellness,Dane DeHaan- Jason Isaacs- Mia Goth- Ivo Nandi
Snowden,Joseph Gordon-Levitt- Shailene Woodley- Melissa Leo-Zachary Quinto
Iron Man,Robert Downey Jr.- Gwyneth Paltrow- Terrence Howard- Jeff Bridges
Allegiant,Shailene Woodley- Theo James- Jeff Daniels-Naomi Watts
X: First Class,James McAvoy- Michael Fassbender- Jennifer Lawrence- Kevin Bacon
Raw (II),Garance Marillier- Ella Rumpf- Rabah Nait Oufella-Laurent Lucas
Paterson,Adam Driver- Golshifteh Farahani- Nellie- Rizwan Manji
Bridesmaids,Kristen Wiig- Maya Rudolph- Rose Byrne- Terry Crews
The Girl with All the Gifts,Gemma Arterton- Glenn Close- Dominique Tipper-Paddy Considine
San Andreas,Dwayne Johnson- Carla Gugino- Alexandra Daddario-Colton Haynes
Spring Breakers,Vanessa Hudgens- Selena Gomez- Ashley Benson-Rachel Korine
Transformers,Shia LaBeouf- Megan Fox- Josh Duhamel- Tyrese Gibson
Old Boy,Josh Brolin- Elizabeth Olsen- Samuel L. Jackson- Sharlto Copley
Thor: The Dark World,Chris Hemsworth- Natalie Portman- Tom Hiddleston-Stellan Skarsgård
Gods of Egypt,Brenton Thwaites- Nikolaj Coster-Waldau- Gerard Butler- Chadwick Boseman
Captain America: The Winter Soldier,Chris Evans- Samuel L. Jackson-Scarlett Johansson- Robert Redford
Monster Trucks,Lucas Till- Jane Levy- Thomas Lennon- Barry Pepper
A Dark Song,Mark Huberman- Susan Loughnane- Steve Oram-Catherine Walker
Kick-Ass,Aaron Taylor-Johnson- Nicolas Cage- Chloë Grace Moretz- Garrett M. Brown
Hardcore Henry,Sharlto Copley- Tim Roth- Haley Bennett- Danila Kozlovsky
Cars,Owen Wilson- Bonnie Hunt- Paul Newman- Larry the Cable Guy
It Follows,Maika Monroe- Keir Gilchrist- Olivia Luccardi-Lili Sepe
The Girl with the Dragon Tattoo,Daniel Craig- Rooney Mara- Christopher Plummer-Stellan Skarsgård
We're the Millers,Jason Sudeikis- Jennifer Aniston- Emma Roberts- Ed Helms
American Honey,Sasha Lane- Shia LaBeouf- Riley Keough- McCaul Lombardi
The Lobster,Colin Farrell- Rachel Weisz- Jessica Barden-Olivia Colman
Predators,Adrien Brody- Laurence Fishburne- Topher Grace-Alice Braga
Maleficent,Angelina Jolie- Elle Fanning- Sharlto Copley-Lesley Manville
Rupture,Noomi Rapace- Michael Chiklis- Kerry Bishé-Peter Stormare
Pan's Labyrinth,Ivana Baquero- Ariadna Gil- Sergi López-Maribel Verdú
A Kind of Murder,Patrick Wilson- Jessica Biel- Haley Bennett- Vincent Kartheiser
Apocalypto,Gerardo Taracena- Raoul Max Trujillo- Dalia Hernández-Rudy Youngblood
Mission: Impossible - Rogue Nation,Tom Cruise- Rebecca Ferguson- Jeremy Renner- Simon Pegg
The Huntsman: Winter's War,Chris Hemsworth- Jessica Chastain- Charlize Theron- Emily Blunt
The Perks of Being a Wallflower,Logan Lerman- Emma Watson- Ezra Miller- Paul Rudd
Jackie,Natalie Portman- Peter Sarsgaard- Greta Gerwig-Billy Crudup
The Disappointments Room,Kate Beckinsale- Mel Raido- Duncan Joiner- Lucas Till
The Grand Budapest Hotel,Ralph Fiennes- F. Murray Abraham- Mathieu Amalric-Adrien Brody
The Host,Saoirse Ronan- Max Irons- Jake Abel- Diane Kruger
Fury,Brad Pitt- Shia LaBeouf- Logan Lerman- Michael Peña
Inside Out,Amy Poehler- Bill Hader- Lewis Black- Mindy Kaling
Rock Dog,Luke Wilson- Eddie Izzard- J.K. Simmons- Lewis Black
Terminator Genisys,Arnold Schwarzenegger- Jason Clarke- Emilia Clarke-Jai Courtney
Percy Jackson & the Olympians: The Lightning Thief,Logan Lerman- Kevin McKidd- Steve Coogan-Brandon T. Jackson
Les Misérables,Hugh Jackman- Russell Crowe- Anne Hathaway-Amanda Seyfried
Children of Men,Julianne Moore- Clive Owen- Chiwetel Ejiofor-Michael Caine
20th Century Women,Annette Bening- Elle Fanning- Greta Gerwig- Billy Crudup
Spy,Melissa McCarthy- Rose Byrne- Jude Law- Jason Statham
The Intouchables,François Cluzet- Omar Sy- Anne Le Ny- Audrey Fleurot
Bonjour Anne,Diane Lane- Alec Baldwin- Arnaud Viard- Linda Gegusch
Kynodontas,Christos Stergioglou- Michele Valley- Angeliki Papoulia- Hristos Passalis
Straight Outta Compton,O'Shea Jackson Jr.- Corey Hawkins- Jason Mitchell-Neil Brown Jr.
The Amazing Spider-Man 2,Andrew Garfield- Emma Stone- Jamie Foxx- Paul Giamatti
The Conjuring,Patrick Wilson- Vera Farmiga- Ron Livingston- Lili Taylor
The Hangover,Zach Galifianakis- Bradley Cooper- Justin Bartha- Ed Helms
Battleship,Alexander Skarsgård- Brooklyn Decker- Liam Neeson-Rihanna
Rise of the Planet of the Apes,James Franco- Andy Serkis- Freida Pinto- Karin Konoval
Lights Out,Teresa Palmer- Gabriel Bateman- Maria Bello-Billy Burke
Norman: The Moderate Rise and Tragic Fall of a New York Fixer,Richard Gere- Lior Ashkenazi- Michael Sheen-Charlotte Gainsbourg
Birdman or (The Unexpected Virtue of Ignorance),Michael Keaton- Zach Galifianakis-Edward Norton- Andrea Riseborough
Black Swan,Natalie Portman- Mila Kunis- Vincent Cassel-Winona Ryder
Dear White People,Tyler James Williams- Tessa Thompson- Kyle Gallner-Teyonah Parris
Nymphomaniac: Vol. I,Charlotte Gainsbourg- Stellan Skarsgård- Stacy Martin- Shia LaBeouf
Teenage Mutant Ninja Turtles: Out of the Shadows,Megan Fox- Will Arnett- Tyler Perry- Laura Linney
Knock Knock,Keanu Reeves- Lorenza Izzo- Ana de Armas- Aaron Burns
Dirty Grandpa,Robert De Niro- Zac Efron- Zoey Deutch- Aubrey Plaza
Cloud Atlas,Tom Hanks- Halle Berry- Hugh Grant- Hugo Weaving
X-Men Origins: Wolverine,Hugh Jackman- Liev Schreiber- Ryan Reynolds- Danny Huston
Satanic,Sarah Hyland- Steven Krueger- Justin Chon- Clara Mamet
Skyfall,Daniel Craig- Javier Bardem- Naomie Harris- Judi Dench
The Hobbit: An Unexpected Journey,Martin Freeman- Ian McKellen- Richard Armitage-Andy Serkis
21 Jump Street,Jonah Hill- Channing Tatum- Ice Cube-Brie Larson
Sing Street,Ferdia Walsh-Peelo- Aidan Gillen- Maria Doyle Kennedy- Jack Reynor
Ballerina,Elle Fanning- Dane DeHaan- Carly Rae Jepsen- Maddie Ziegler
Oblivion,Tom Cruise- Morgan Freeman- Andrea Riseborough- Olga Kurylenko
22 Jump Street,Channing Tatum- Jonah Hill- Ice Cube-Nick Offerman
Zodiac,Jake Gyllenhaal- Robert Downey Jr.- Mark Ruffalo-Anthony Edwards
Everybody Wants Some!!,Blake Jenner- Tyler Hoechlin- Ryan Guzman-Zoey Deutch
Iron Man Three,Robert Downey Jr.- Guy Pearce- Gwyneth Paltrow-Don Cheadle
Now You See Me,Jesse Eisenberg- Common- Mark Ruffalo- Woody Harrelson
Sherlock Holmes,Robert Downey Jr.- Jude Law- Rachel McAdams- Mark Strong
Death Proof,Kurt Russell- Zoë Bell- Rosario Dawson- Vanessa Ferlito
The Danish Girl,Eddie Redmayne- Alicia Vikander- Amber Heard- Ben Whishaw
Hercules,Dwayne Johnson- John Hurt- Ian McShane- Joseph Fiennes
Sucker Punch,Emily Browning- Vanessa Hudgens- Abbie Cornish-Jena Malone
Keeping Up with the Joneses,Zach Galifianakis- Isla Fisher- Jon Hamm- Gal Gadot
Jupiter Ascending,Channing Tatum- Mila Kunis-Eddie Redmayne- Sean Bean
Masterminds,Zach Galifianakis- Kristen Wiig- Owen Wilson- Ross Kimball
Iris,Romain Duris- Charlotte Le Bon- Jalil Lespert- Camille Cottin
Busanhaeng,Yoo Gong- Soo-an Kim- Yu-mi Jung- Dong-seok Ma
Pitch Perfect,Anna Kendrick- Brittany Snow- Rebel Wilson- Anna Camp
Neighbors 2: Sorority Rising,Seth Rogen- Rose Byrne- Zac Efron- Chloë Grace Moretz
The Exception,Lily James- Jai Courtney- Christopher Plummer- Loïs van Wijk
Man of Steel,Henry Cavill- Amy Adams- Michael Shannon- Diane Lane
The Choice,Benjamin Walker- Teresa Palmer- Alexandra Daddario-Maggie Grace
Ice Age: Collision Course,Ray Romano- Denis Leary- John Leguizamo- Chris Wedge
The Devil Wears Prada,Anne Hathaway- Meryl Streep- Adrian Grenier- Emily Blunt
The Infiltrator,Bryan Cranston- John Leguizamo- Diane Kruger- Amy Ryan
